latitude,longitude,bright_ti4,acq_date,,,
-16.11555,136.65714,346.9,1,,,
-16.12179,136.63939,346,1,,,
-16.12121,136.64304,339.8,1,,,
-16.1189,136.6577,351.9,1,,,
-14.80372,144.62799,325.8,1,,,
-16.12514,136.63994,354.5,1,,,
-16.12457,136.64359,341.9,1,,,
-16.12849,136.64049,356.5,1,,,
-16.13185,136.64105,367,1,,,
-16.13127,136.64471,352,1,,,
-16.12723,136.67039,352.4,1,,,
-16.13463,136.64526,345,1,,,
-15.76579,137.07645,346.6,1,,,
-16.1145,136.64192,349.4,1,,,
-16.11508,136.63824,343.4,1,,,
-16.11566,136.6346,336.6,1,,,
-15.76639,137.07272,330.9,1,,,
-15.76699,137.06897,340.6,1,,,
-15.76181,137.07964,349.4,1,,,
-15.7624,137.07588,351.2,1,,,
-15.763,137.07214,338.8,1,,,
-15.76359,137.06841,352.7,1,,,
-15.76419,137.06464,348.7,1,,,
-16.16539,136.64664,344,1,,,
-16.15465,136.6712,352.1,1,,,
-16.16662,136.74864,335.5,1,,,
-16.16326,136.74808,341.4,1,,,
-15.05997,144.56421,331.9,1,,,
-15.05475,144.56314,355.2,1,,,
-15.0541,144.56642,367,1,,,
-15.05343,144.5425,330.4,1,,,
-15.01008,144.87004,329.5,1,,,
-15.0108,144.86638,331.9,1,,,
-14.97675,144.8703,329.4,1,,,
-14.96151,144.86337,335.1,1,,,
-14.95962,144.86079,336.9,1,,,
-14.93052,144.70064,337.2,1,,,
-14.93577,144.7018,328.5,1,,,
-15.02563,144.8197,331.7,1,,,
-15.02897,144.83072,332.6,1,,,
-15.05545,144.75256,326.8,1,,,
-14.95428,144.85974,337.4,1,,,
-14.95495,144.85634,331,1,,,
-14.94427,144.85432,328,1,,,
-14.93572,144.86958,330.9,1,,,
-14.92642,144.86052,332.3,1,,,
-14.92309,144.84929,325.6,1,,,
-14.90574,144.85291,343.8,1,,,
-14.89913,144.85822,342.5,1,,,
-14.89976,144.85506,332.8,1,,,
-14.9004,144.85187,326.5,1,,,
-15.78614,137.07988,342,1,,,
-15.7919,137.06548,334,1,,,
-15.79131,137.06921,347.2,1,,,
-16.11277,136.65292,349.1,1,,,
-15.78792,137.06865,338.9,1,,,
-15.78852,137.0649,352.6,1,,,
-16.11393,136.64558,351.2,1,,,
-15.78215,137.08305,367,1,,,
-15.78156,137.08681,346.6,1,,,
-15.78275,137.07932,337.7,1,,,
-15.78394,137.07182,341,1,,,
-15.77876,137.08249,337,1,,,
-15.77597,137.07817,340.7,1,,,
-15.76799,137.08452,333.1,1,,,
-16.25803,136.72232,339.2,1,,,
-16.15051,136.71951,342.9,1,,,
-16.14715,136.71895,348.2,1,,,
-16.14773,136.71529,353.5,1,,,
-16.14831,136.71159,352,1,,,
-16.14889,136.70792,344.2,1,,,
-16.15292,136.68221,346.3,1,,,
-16.2062,136.64969,353.4,1,,,
-16.15408,136.67487,346.2,1,,,
-16.14018,136.65373,347.2,1,,,
-16.14354,136.65428,348.7,1,,,
-16.14553,136.70735,367,1,,,
-16.14668,136.70001,367,1,,,
-16.14842,136.689,367,1,,,
-15.7608,137.06409,367,1,,,
-15.75901,137.07532,334.1,1,,,
-14.85379,144.65169,335.9,1,,,
-14.84843,144.62335,327.3,1,,,
-14.83339,144.64406,330.7,1,,,
-16.14611,136.70367,354.7,1,,,
-16.14726,136.69633,347.3,1,,,
-16.14784,136.69267,351.7,1,,,
-16.15014,136.67799,339.9,1,,,
-16.15072,136.67432,349,1,,,
-14.81696,144.64401,327.6,1,,,
-14.8176,144.64079,327.2,1,,,
-14.82213,144.61804,328.8,1,,,
-14.81295,144.63664,328.7,1,,,
-14.80898,144.62909,332.8,1,,,
-15.92038,136.13441,346,1,,,
-15.91982,136.13803,347.7,1,,,
-14.81018,144.63206,325.7,1,,,
-14.8108,144.62881,338,1,,,
-15.75961,137.07156,343,1,,,
-15.76021,137.06783,339.6,1,,,
-15.75681,137.06725,338.8,1,,,
-16.26762,136.70509,347.1,1,,,
-15.65466,142.13319,333.1,1,,,
-16.16097,136.63087,342.5,1,,,
-16.15762,136.63031,353.2,1,,,
-16.1582,136.62665,351,1,,,
-16.15427,136.62975,343.9,1,,,
-15.7576,137.04048,338.5,1,,,
-15.76099,137.04105,353,1,,,
-15.76039,137.0448,336.8,1,,,
-15.75861,137.05603,346.9,1,,,
-15.75801,137.05977,352.1,1,,,
-15.76497,137.03787,330.9,1,,,
-15.76438,137.04161,345.1,1,,,
-15.76378,137.04536,352.7,1,,,
-15.762,137.05659,334.5,1,,,
-15.7614,137.06033,367,1,,,
-15.76777,137.04219,348.5,1,,,
-15.76717,137.04593,351.6,1,,,
-15.76658,137.04965,335.6,1,,,
-15.77056,137.04649,340.1,1,,,
-15.76997,137.05023,341.6,1,,,
-15.78166,136.9985,355.7,1,,,
-15.78446,137.00279,367,1,,,
-15.78911,137.06116,333.4,1,,,
-16.14296,136.65796,367,1,,,
-16.14631,136.65852,356.5,1,,,
-16.15369,136.63341,347.4,1,,,
-16.14909,136.66273,356.4,1,,,
-16.14852,136.66641,352.3,1,,,
-16.15484,136.62608,352.5,1,,,
-16.15542,136.62244,342.7,1,,,
-16.15092,136.6292,353.9,1,,,
-16.15149,136.62555,347.8,1,,,
-16.15206,136.62187,367,1,,,
-16.14814,136.62498,367,1,,,
-16.14871,136.62132,354.9,1,,,
-16.14478,136.62442,347.3,1,,,
-16.14536,136.62076,343.2,1,,,
-16.11623,136.63094,352.7,1,,,
-16.15925,136.64186,344.8,1,,,
-14.97914,144.91362,335.3,1,,,
-16.11288,136.63039,347,1,,,
-16.11346,136.62672,343,1,,,
-16.1299,136.69722,352.5,1,,,
-16.12932,136.70088,338.8,1,,,
-16.10953,136.62982,354.6,1,,,
-16.1101,136.62616,352.7,1,,,
-16.11068,136.6225,345,1,,,
-16.10795,136.62918,352.3,1,,,
-16.10853,136.62552,353.1,1,,,
-16.13383,136.69409,339,1,,,
-16.1091,136.62186,342.8,1,,,
-16.10517,136.62495,354.9,1,,,
-16.13326,136.69777,349.7,1,,,
-16.13268,136.70145,355.9,1,,,
-16.13777,136.69098,341.8,1,,,
-16.13719,136.69466,339.2,1,,,
-16.13661,136.69833,345.5,1,,,
-14.98447,144.91476,328.1,1,,,
-14.98379,144.91814,331.4,1,,,
-14.98912,144.91933,335.7,1,,,
-14.9938,144.92374,329.1,1,,,
-15.78733,137.0724,349.9,1,,,
-15.78673,137.07614,346.6,1,,,
-15.65025,142.13232,349.1,1,,,
-15.65107,142.12788,335.4,1,,,
-15.64584,142.13148,337.3,1,,,
-15.64666,142.12704,355.1,1,,,
-15.64226,142.12619,344.6,1,,,
-15.62546,142.11838,338.5,1,,,
-14.99265,144.76402,327.6,1,,,
-14.99394,144.75763,326.4,1,,,
-14.97592,144.79224,327.1,1,,,
-14.98469,144.74892,337.7,1,,,
-14.99655,144.7561,332.1,1,,,
-14.97814,144.79417,334.9,1,,,
-14.98665,144.75044,329,1,,,
-14.9259,144.72385,327.7,1,,,
-16.13001,136.67461,346.9,1,,,
-16.12712,136.69299,349.2,1,,,
-14.85779,144.68715,332.2,1,,,
-16.13604,136.702,367,1,,,
-16.13546,136.70567,367,1,,,
-16.14228,136.6842,343.3,1,,,
-16.1417,136.68788,348.9,1,,,
-16.14112,136.69154,347.4,1,,,
-16.14055,136.69521,347.9,1,,,
-16.13997,136.69888,345.7,1,,,
-16.13939,136.70256,356.4,1,,,
-16.13824,136.70992,354.2,1,,,
-16.13881,136.70624,367,1,,,
-16.14448,136.69211,354,1,,,
-16.14333,136.69945,354.3,1,,,
-16.14275,136.70312,356.5,1,,,
-16.14217,136.7068,352,1,,,
-16.14102,136.71414,345.4,1,,,
-16.14506,136.68843,367,1,,,
-16.14391,136.69577,367,1,,,
-16.14159,136.71046,367,1,,,
-16.14437,136.71471,357.6,1,,,
-16.14794,136.67007,355.9,1,,,
-16.14495,136.71103,367,1,,,
-16.14737,136.67375,341.9,1,,,
-16.15187,136.66698,356.5,1,,,
-16.15129,136.67064,357.5,1,,,
-15.62105,142.11754,337.3,1,,,
-15.00364,144.95813,326.9,1,,,
-16.28582,136.90529,338.4,1,,,
-16.27403,136.77412,339.5,1,,,
-16.27797,136.77101,340.5,1,,,
